BoroughName,Code,Inner/ Outer London,Year,Crime_per_1000,Job_Density,Population_Density,Median_Income
Richmond upon Thames,E09000027,Outer,2016,58.70939411578485,0.86,3411.547956,35500.0
Southwark,E09000028,Inner,2016,103.84971978576914,1.35,10874.73637,27100.0
Sutton,E09000029,Outer,2016,53.841825755631454,0.64,4620.888266,27400.0
Tower Hamlets,E09000030,Inner,2016,98.42337993041532,1.4,15445.26248,28900.0
Waltham Forest,E09000031,Outer,2016,77.12894849149,0.45,7124.774882,23900.0
Wandsworth,E09000032,Inner,2016,76.64689945245448,0.61,9242.482745,34200.0
Westminster,E09000033,Inner,2016,197.98557432132276,4.86,11523.9089,37800.0
Barking and Dagenham,E09000002,Outer,2017,87.82830514030013,0.48,5830.122602,23300.0
Barnet,E09000003,Outer,2017,67.64662303357295,0.7,4512.433521,28800.0
Bexley,E09000004,Outer,2017,59.31733682877591,0.59,4080.162999,26100.0
Brent,E09000005,Outer,2017,89.13899323816679,0.66,7696.731523,24100.0
Bromley,E09000006,Outer,2017,68.69562326802837,0.65,2204.077917,30400.0
Camden,E09000007,Inner,2017,153.50061709596244,2.52,11453.14706,35500.0
Croydon,E09000008,Outer,2017,77.75154912953673,0.62,4466.24006,25600.0
Ealing,E09000009,Outer,2017,81.1175192869448,0.68,6249.533593,26100.0
Enfield,E09000010,Outer,2017,75.65984501574572,0.59,4152.404004,25400.0
Greenwich,E09000011,Outer,2017,88.28958815166882,0.53,5974.031236,26000.0
Hackney,E09000012,Inner,2017,112.86061807370034,0.73,14566.36232,28000.0
Hammersmith and Fulham,E09000013,Inner,2017,119.0836169312053,1.14,11092.5154,32300.0
Haringey,E09000014,Inner,2017,106.88852926907865,0.47,9540.959107,25100.0
Harrow,E09000015,Outer,2017,55.40126640534493,0.58,4994.8136,27300.0
Havering,E09000016,Outer,2017,72.50880302308695,0.64,2280.042381,26100.0
Hillingdon,E09000017,Outer,2017,89.47042730588849,1.1,2653.733645,26200.0
Hounslow,E09000018,Outer,2017,91.28268538386006,0.98,4912.11605,26100.0
Islington,E09000019,Inner,2017,135.81170072651568,1.47,15842.73069,32900.0
Kensington and Chelsea,E09000020,Inner,2017,136.08392316750445,1.56,13028.19454,39500.0
Kingston upon Thames,E09000021,Outer,2017,64.30929441371154,0.89,4788.335183,30200.0
Lambeth,E09000022,Inner,2017,104.5002823434202,0.76,12351.9794,29200.0
Lewisham,E09000023,Inner,2017,81.52620928259024,0.41,8716.533538,26700.0
